"","name","yearpublished","minplayers","maxplayers","minplaytime","maxplaytime","minage","usersrated","average","avgweight","boardgamehonor","boardgamecategory","description","boardgamefamily"
"74","Earth Reborn",2010,2,4,180,180,13,3128,7.69881,3.8881,"['2011 Golden Geek Best 2-Player Board Game Nominee', '2011 Golden Geek Best Board Game Artwork/Presentation Nominee', '2011 Golden Geek Best Thematic Board Game Nominee', '2011 Golden Geek Best Wargame Nominee', '2011 Golden Geek Most Innovative Board Game Nominee', '2011 International Gamers Award - General Strategy: Two-players Nominee']","Miniatures","After 500 years, two factions emerge from their underground cities into a new world, an Earth reborn from nuclear disaster.  12 highly detailed miniatures represent the two factions which are:  NORAD: military in thinking and origins. Scientists, engineers, add to their strength.  SALEMITES: occultists working with cadavers, bringing the dead to life.  Soon after emerging, these two factions meet - and it is determined that they cannot live together in peace.  Earth Reborn offers nine scenarios that take you through missions of rescue, retrieval, and escort through areas of labs, mansions, towns, and more. Each scenario builds upon the rules of a new chapter: the game system is built like a tutorial. There are core rules to start the game, and each chapter offers 1-3 new rules along with a scenario that uses these new rules.  The game also contains the innovative S.A.G.S. (Scenario Auto Generating System), where 2-4 players can make their own maps and mission objectives for near infinite replayability!  Other features include:          A Tetris-like board construction using polyomino floor tiles.         An order tiles system to give commands to your miniatures.         Interrupt Duels with Bluff, betting command points to interrupt an enemy character and act during another player's turn.         The I.P.S. (Iconographic Phrasing System) that allows almost any effect to occur with icons, totally language independent.         Colored base arcs on miniatures to simplify Line of Sight, shooting, and close combat. It also multiplies characters&amp;rsquo; variations and possibilities.         The Search rule, giving a visceral feeling to searching in rooms to find equipment.         A Mission Points track that also serves as a Morale Points track.          Radio Scrambling to mess with your opponents' orders.","['Post-Apocalyptic']"
"75","Earth Reborn",2010,2,4,180,180,13,3128,7.69881,3.8881,"['2011 Golden Geek Best 2-Player Board Game Nominee', '2011 Golden Geek Best Board Game Artwork/Presentation Nominee', '2011 Golden Geek Best Thematic Board Game Nominee', '2011 Golden Geek Best Wargame Nominee', '2011 Golden Geek Most Innovative Board Game Nominee', '2011 International Gamers Award - General Strategy: Two-players Nominee']","Science Fiction","After 500 years, two factions emerge from their underground cities into a new world, an Earth reborn from nuclear disaster.  12 highly detailed miniatures represent the two factions which are:  NORAD: military in thinking and origins. Scientists, engineers, add to their strength.  SALEMITES: occultists working with cadavers, bringing the dead to life.  Soon after emerging, these two factions meet - and it is determined that they cannot live together in peace.  Earth Reborn offers nine scenarios that take you through missions of rescue, retrieval, and escort through areas of labs, mansions, towns, and more. Each scenario builds upon the rules of a new chapter: the game system is built like a tutorial. There are core rules to start the game, and each chapter offers 1-3 new rules along with a scenario that uses these new rules.  The game also contains the innovative S.A.G.S. (Scenario Auto Generating System), where 2-4 players can make their own maps and mission objectives for near infinite replayability!  Other features include:          A Tetris-like board construction using polyomino floor tiles.         An order tiles system to give commands to your miniatures.         Interrupt Duels with Bluff, betting command points to interrupt an enemy character and act during another player's turn.         The I.P.S. (Iconographic Phrasing System) that allows almost any effect to occur with icons, totally language independent.         Colored base arcs on miniatures to simplify Line of Sight, shooting, and close combat. It also multiplies characters&amp;rsquo; variations and possibilities.         The Search rule, giving a visceral feeling to searching in rooms to find equipment.         A Mission Points track that also serves as a Morale Points track.          Radio Scrambling to mess with your opponents' orders.","['Post-Apocalyptic']"
"76","Earth Reborn",2010,2,4,180,180,13,3128,7.69881,3.8881,"['2011 Golden Geek Best 2-Player Board Game Nominee', '2011 Golden Geek Best Board Game Artwork/Presentation Nominee', '2011 Golden Geek Best Thematic Board Game Nominee', '2011 Golden Geek Best Wargame Nominee', '2011 Golden Geek Most Innovative Board Game Nominee', '2011 International Gamers Award - General Strategy: Two-players Nominee']","Spies/Secret Agents","After 500 years, two factions emerge from their underground cities into a new world, an Earth reborn from nuclear disaster.  12 highly detailed miniatures represent the two factions which are:  NORAD: military in thinking and origins. Scientists, engineers, add to their strength.  SALEMITES: occultists working with cadavers, bringing the dead to life.  Soon after emerging, these two factions meet - and it is determined that they cannot live together in peace.  Earth Reborn offers nine scenarios that take you through missions of rescue, retrieval, and escort through areas of labs, mansions, towns, and more. Each scenario builds upon the rules of a new chapter: the game system is built like a tutorial. There are core rules to start the game, and each chapter offers 1-3 new rules along with a scenario that uses these new rules.  The game also contains the innovative S.A.G.S. (Scenario Auto Generating System), where 2-4 players can make their own maps and mission objectives for near infinite replayability!  Other features include:          A Tetris-like board construction using polyomino floor tiles.         An order tiles system to give commands to your miniatures.         Interrupt Duels with Bluff, betting command points to interrupt an enemy character and act during another player's turn.         The I.P.S. (Iconographic Phrasing System) that allows almost any effect to occur with icons, totally language independent.         Colored base arcs on miniatures to simplify Line of Sight, shooting, and close combat. It also multiplies characters&amp;rsquo; variations and possibilities.         The Search rule, giving a visceral feeling to searching in rooms to find equipment.         A Mission Points track that also serves as a Morale Points track.          Radio Scrambling to mess with your opponents' orders.","['Post-Apocalyptic']"
"77","YINSH",2003,2,2,30,60,9,6703,7.68293,2.7039,"['2004 International Gamers Award - General Strategy: Two-players', '2004 Japan Boardgame Prize Best Foreign Game for Beginners Nominee', '2004 Mensa Select Winner', '2004 Nederlandse Spellenprijs Nominee', '2004 Spiel des Jahres Recommended', '2004 Tric Trac Nominee']","Abstract Strategy","In YINSH, the players each start with five rings on the board. Every time a ring is moved, it leaves a marker behind. Markers are white on one side and black on the other. When markers are jumped over by a ring they must be flipped, so their color is constantly changing. The players must try to form a row of five markers with their own color face up. If a player succeeds in doing so, he removes one of his rings as an indication that he has formed such a row. The first player to remove three of his rings wins the game. In other words, each row you make brings you closer to victory-but also makes you weaker, because you have one fewer ring to play with. Very tricky!","['Combinatorial', 'GIPF Project', 'Mensa Select']"
"78","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Ancient","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"79","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Civilization","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"80","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Economic","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"81","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Fighting","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"82","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Territory Building","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"83","Polis  Fight for the Hegemony",2012,2,2,90,120,12,1934,7.67765,3.6468,"['2013 Golden Geek Best 2-Player Board Game Nominee', '2013 International Gamers Award - General Strategy: Two-players Nominee', '2013 Premio Jugamos Tod@s Winner']","Wargame","Polis: Fight for the Hegemony is a two-player civ-lite game set in the beginning of the conflict between the two major poleis of the 5th century B.C: Athens and the Delian League against Sparta and the Peloponnesian League. The winner will be the Empire with more population and prestige at the end of the game.  With a growing empire, feeding your people is the main goal. Wheat was scarce in Greece, so both players must secure other goods supply and the route to five markets in order to trade them for wheat. Each territory may give you different amount of wood, metal, wine, olive oil, silver and some wheat; these two last ones are hard to get but precious. It&amp;rsquo;s up to you if you want to get more of only one good or less from several of them. Every turn you get goods from a territory you must have some population there (supporting your Empire) but in the end they also have to be fed.  Fighting for the control of the territories and the sieges of the polis will be the job of your hoplites, your triremes will struggle to secure the routes to Egypt, Persia...so you can trade with them when the price is low, and a good use of your Diplomatic may convince a Polis to join your League easily.  A Polis may be your ally, but they are very proud of their independence, so you will have to create some Projects (statues, temples, artists, philosophers, games...) in order to gain Prestige which is needed for all your military manoeuvres.","['Ancient: Sparta', 'Cities: Athens (Greece)', 'Country: Greece', 'History: Peloponnesian War', 'LUDO']"
"84","Sherlock Holmes Consulting Detective  The Mansion Murders",1983,1,6,60,60,12,275,7.67361,2.68,"['None']","Deduction","""Can you deduce who killed the wealthy tea magnate, Sir Alfred Sipton?  Or piece together the previously unknown chapter in the history of the Maltese Falcon?  Was it suicide or murder at the reunion party of Watson&amp;rsquo;s old regiment?  Did Sir Harold Hobson&amp;rsquo;s bookish son poison three of his father&amp;rsquo;s house guests?""  This is the first supplement to the Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases game. Apparently there were 2 releases of this game: One required the original game, Sherlock Holmes Consulting Detective and one that was complete and standalone.  The expansion that did require the original game did not have the 24&amp;quot; x 28&amp;quot; Map of Holmes' London or the London Directory.  The game challenges your deductive reasoning skills and ability to discern important details from generally available information.  No luck is involved, just your mental ability.  Great fun with a group of fellow sleuths or as a challenge all by yourself.","['Characters: Sherlock Holmes', 'Cities: London (England)', 'Country: England', 'Mystery Novels', 'Sherlock Holmes Consulting Detective', 'Solitaire Games']"
"85","Sherlock Holmes Consulting Detective  The Mansion Murders",1983,1,6,60,60,12,275,7.67361,2.68,"['None']","Murder/Mystery","""Can you deduce who killed the wealthy tea magnate, Sir Alfred Sipton?  Or piece together the previously unknown chapter in the history of the Maltese Falcon?  Was it suicide or murder at the reunion party of Watson&amp;rsquo;s old regiment?  Did Sir Harold Hobson&amp;rsquo;s bookish son poison three of his father&amp;rsquo;s house guests?""  This is the first supplement to the Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases game. Apparently there were 2 releases of this game: One required the original game, Sherlock Holmes Consulting Detective and one that was complete and standalone.  The expansion that did require the original game did not have the 24&amp;quot; x 28&amp;quot; Map of Holmes' London or the London Directory.  The game challenges your deductive reasoning skills and ability to discern important details from generally available information.  No luck is involved, just your mental ability.  Great fun with a group of fellow sleuths or as a challenge all by yourself.","['Characters: Sherlock Holmes', 'Cities: London (England)', 'Country: England', 'Mystery Novels', 'Sherlock Holmes Consulting Detective', 'Solitaire Games']"
"86","Sherlock Holmes Consulting Detective  The Mansion Murders",1983,1,6,60,60,12,275,7.67361,2.68,"['None']","Novel-based","""Can you deduce who killed the wealthy tea magnate, Sir Alfred Sipton?  Or piece together the previously unknown chapter in the history of the Maltese Falcon?  Was it suicide or murder at the reunion party of Watson&amp;rsquo;s old regiment?  Did Sir Harold Hobson&amp;rsquo;s bookish son poison three of his father&amp;rsquo;s house guests?""  This is the first supplement to the Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases game. Apparently there were 2 releases of this game: One required the original game, Sherlock Holmes Consulting Detective and one that was complete and standalone.  The expansion that did require the original game did not have the 24&amp;quot; x 28&amp;quot; Map of Holmes' London or the London Directory.  The game challenges your deductive reasoning skills and ability to discern important details from generally available information.  No luck is involved, just your mental ability.  Great fun with a group of fellow sleuths or as a challenge all by yourself.","['Characters: Sherlock Holmes', 'Cities: London (England)', 'Country: England', 'Mystery Novels', 'Sherlock Holmes Consulting Detective', 'Solitaire Games']"
"87","Gloom of Kilforth  A Fantasy Quest Game",2017,1,4,60,180,13,1117,7.67252,3.08,"['None']","Card Game","The land of Kilforth is a perilous domain filled with nefarious monsters, mysterious Strangers and treacherous Locations, and dominated at its centre by The Sprawl, a huge city where intrepid Heroes begin their journey to fame and fortune. Throughout the land various factions vie for power over each other, such as the supposedly noble Order of the Rose or the terrifying Doom Guard. And presiding over the world outside Kilforth is the ever-present Overlord, Masklaw. Over the coming month, a deadly Gloom will descend upon Kilforth,which the Heroes must Battle through to prove their worth, defeat an Ancient evil, and save the land from darkness.  Gloom of Kilforth is a card game of high fantasy with a Gothic edge, playable in 1-3 hours, where 1-4 players, working individually or together, must take their humble adventurers on a journey through a dark world of magic and peril. They will visit strange places, stranger people and overcome powerful enemies in their mission to discover mysterious artefacts and mystical Spells. Players follow their Hero&amp;rsquo;s tale from modest beginnings through an epic story to an exciting climactic battle for the fate of the world. Gloom of Kilforth takes about 45 minutes per player to play.  Awards  Gloom of Kilforth was awarded one of the Top Ten Games of 2017 by Tabletop Gaming Magazine. Gloom of Kilforth was awarded Best Solitaire Game of 2017 by the 1 Player Guild.","['Crowdfunding: Kickstarter', 'Solitaire Games']"
"88","Gloom of Kilforth  A Fantasy Quest Game",2017,1,4,60,180,13,1117,7.67252,3.08,"['None']","Fantasy","The land of Kilforth is a perilous domain filled with nefarious monsters, mysterious Strangers and treacherous Locations, and dominated at its centre by The Sprawl, a huge city where intrepid Heroes begin their journey to fame and fortune. Throughout the land various factions vie for power over each other, such as the supposedly noble Order of the Rose or the terrifying Doom Guard. And presiding over the world outside Kilforth is the ever-present Overlord, Masklaw. Over the coming month, a deadly Gloom will descend upon Kilforth,which the Heroes must Battle through to prove their worth, defeat an Ancient evil, and save the land from darkness.  Gloom of Kilforth is a card game of high fantasy with a Gothic edge, playable in 1-3 hours, where 1-4 players, working individually or together, must take their humble adventurers on a journey through a dark world of magic and peril. They will visit strange places, stranger people and overcome powerful enemies in their mission to discover mysterious artefacts and mystical Spells. Players follow their Hero&amp;rsquo;s tale from modest beginnings through an epic story to an exciting climactic battle for the fate of the world. Gloom of Kilforth takes about 45 minutes per player to play.  Awards  Gloom of Kilforth was awarded one of the Top Ten Games of 2017 by Tabletop Gaming Magazine. Gloom of Kilforth was awarded Best Solitaire Game of 2017 by the 1 Player Guild.","['Crowdfunding: Kickstarter', 'Solitaire Games']"
"89","Ambush! Purple Heart",1985,1,1,240,240,12,402,7.67145,3.186,"['None']","Expansion for Base-game","Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to: - The Ardennes, December 1944 - South of Caen, July 1944 - The Rhone Valley, 1944 - Western Germany, Spring 1945","['Ambush! solitaire wargame system', 'Solitaire Games', 'Solitaire Wargames']"
"90","Ambush! Purple Heart",1985,1,1,240,240,12,402,7.67145,3.186,"['None']","Exploration","Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to: - The Ardennes, December 1944 - South of Caen, July 1944 - The Rhone Valley, 1944 - Western Germany, Spring 1945","['Ambush! solitaire wargame system', 'Solitaire Games', 'Solitaire Wargames']"
"91","Ambush! Purple Heart",1985,1,1,240,240,12,402,7.67145,3.186,"['None']","Fighting","Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to: - The Ardennes, December 1944 - South of Caen, July 1944 - The Rhone Valley, 1944 - Western Germany, Spring 1945","['Ambush! solitaire wargame system', 'Solitaire Games', 'Solitaire Wargames']"
"92","Ambush! Purple Heart",1985,1,1,240,240,12,402,7.67145,3.186,"['None']","Wargame","Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to: - The Ardennes, December 1944 - South of Caen, July 1944 - The Rhone Valley, 1944 - Western Germany, Spring 1945","['Ambush! solitaire wargame system', 'Solitaire Games', 'Solitaire Wargames']"
"93","Ambush! Purple Heart",1985,1,1,240,240,12,402,7.67145,3.186,"['None']","World War II","Purple Heart is the second expansion for Ambush!  It adds six new scenarios along with new weapons, vehicles, enemies and maps. The scenarios are designed to be challenging for experienced characters. Instead of being limited to France in 1944 like the base game, Purple Heart also takes you to: - The Ardennes, December 1944 - South of Caen, July 1944 - The Rhone Valley, 1944 - Western Germany, Spring 1945","['Ambush! solitaire wargame system', 'Solitaire Games', 'Solitaire Wargames']"
"94","More Cosmic Encounter",1992,2,8,90,90,12,478,7.66204,2.7436,"['None']","Card Game","This expansion set for Mayfair's Cosmic Encounter (1991) adds 54 more powers (and flares), Moons, Lucre, Special Destiny Cards, Comets and more.  Expands:      Cosmic Encounter","['Cosmic Encounter']"
"95","More Cosmic Encounter",1992,2,8,90,90,12,478,7.66204,2.7436,"['None']","Expansion for Base-game","This expansion set for Mayfair's Cosmic Encounter (1991) adds 54 more powers (and flares), Moons, Lucre, Special Destiny Cards, Comets and more.  Expands:      Cosmic Encounter","['Cosmic Encounter']"
"96","More Cosmic Encounter",1992,2,8,90,90,12,478,7.66204,2.7436,"['None']","Negotiation","This expansion set for Mayfair's Cosmic Encounter (1991) adds 54 more powers (and flares), Moons, Lucre, Special Destiny Cards, Comets and more.  Expands:      Cosmic Encounter","['Cosmic Encounter']"
"97","More Cosmic Encounter",1992,2,8,90,90,12,478,7.66204,2.7436,"['None']","Science Fiction","This expansion set for Mayfair's Cosmic Encounter (1991) adds 54 more powers (and flares), Moons, Lucre, Special Destiny Cards, Comets and more.  Expands:      Cosmic Encounter","['Cosmic Encounter']"
"98","Breakout  Normandy",1992,2,2,240,240,12,955,7.65274,3.3822,"['1993 Charles S. Roberts Best World War II Board Game Nominee']","Wargame","Breakout: Normandy is a complex two-player wargame on the Allied invasion of France in World War 2.  The game concentrates on the initial landings and the subsequent breakout attempts.  The German player tries to prevent the a successful Allied landing, and if that fails, to contain the beachhead.  The Allied player wins by establishing a beachhead, or (better) by successfully breaking out of the landing area.  The mapboard depicts the Normandy area where the initial landings took place.  Units are regiments and brigades, representing infantry, airborne, armour artillery, anti-tank and anti-aircraft units.  The game uses the area-impulse system used in Storm over Arnhem, Thunder at Cassino and Turning Point: Stalingrad.","['Avalon Hill area-impulse series', 'Country: France', 'Normandy (France)']"
"99","Breakout  Normandy",1992,2,2,240,240,12,955,7.65274,3.3822,"['1993 Charles S. Roberts Best World War II Board Game Nominee']","World War II","Breakout: Normandy is a complex two-player wargame on the Allied invasion of France in World War 2.  The game concentrates on the initial landings and the subsequent breakout attempts.  The German player tries to prevent the a successful Allied landing, and if that fails, to contain the beachhead.  The Allied player wins by establishing a beachhead, or (better) by successfully breaking out of the landing area.  The mapboard depicts the Normandy area where the initial landings took place.  Units are regiments and brigades, representing infantry, airborne, armour artillery, anti-tank and anti-aircraft units.  The game uses the area-impulse system used in Storm over Arnhem, Thunder at Cassino and Turning Point: Stalingrad.","['Avalon Hill area-impulse series', 'Country: France', 'Normandy (France)']"
"100","Space Empires  4X",2011,1,4,180,180,12,2722,7.65175,3.3385,"['2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee', '2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee']","Bluffing","Space Empires is a game in the finest tradition of 4X space games - eXplore, eXpand, eXploit, and eXterminate.  Each player builds up a space empire and uses it to conquer the other players.  Exploration on the mounted map is simple for players (and dangerous for their ships), revealing different space terrain that affects movement and combat.  Space Empires was developed to keep a rich theme without overcomplicated rules.  The game includes carriers and fighters, mines, cloaking, a very large technology tree, fifteen ship classes, merchant shipping, colonization, mining, terraforming, bases, shipyards, black holes, warp points, and non-player aliens.  Yet the rules are short and intuitive:  The basic rules are 8 pages long and increase to 11 pages in length when the advanced rules are included.","['4X games', 'Solitaire Games', 'Solitaire Wargames']"
"101","Space Empires  4X",2011,1,4,180,180,12,2722,7.65175,3.3385,"['2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee', '2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee']","Science Fiction","Space Empires is a game in the finest tradition of 4X space games - eXplore, eXpand, eXploit, and eXterminate.  Each player builds up a space empire and uses it to conquer the other players.  Exploration on the mounted map is simple for players (and dangerous for their ships), revealing different space terrain that affects movement and combat.  Space Empires was developed to keep a rich theme without overcomplicated rules.  The game includes carriers and fighters, mines, cloaking, a very large technology tree, fifteen ship classes, merchant shipping, colonization, mining, terraforming, bases, shipyards, black holes, warp points, and non-player aliens.  Yet the rules are short and intuitive:  The basic rules are 8 pages long and increase to 11 pages in length when the advanced rules are included.","['4X games', 'Solitaire Games', 'Solitaire Wargames']"
"102","Space Empires  4X",2011,1,4,180,180,12,2722,7.65175,3.3385,"['2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee', '2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee']","Space Exploration","Space Empires is a game in the finest tradition of 4X space games - eXplore, eXpand, eXploit, and eXterminate.  Each player builds up a space empire and uses it to conquer the other players.  Exploration on the mounted map is simple for players (and dangerous for their ships), revealing different space terrain that affects movement and combat.  Space Empires was developed to keep a rich theme without overcomplicated rules.  The game includes carriers and fighters, mines, cloaking, a very large technology tree, fifteen ship classes, merchant shipping, colonization, mining, terraforming, bases, shipyards, black holes, warp points, and non-player aliens.  Yet the rules are short and intuitive:  The basic rules are 8 pages long and increase to 11 pages in length when the advanced rules are included.","['4X games', 'Solitaire Games', 'Solitaire Wargames']"
"103","Space Empires  4X",2011,1,4,180,180,12,2722,7.65175,3.3385,"['2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee', '2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Winner', '2011 Golden Geek Best Wargame Nominee']","Wargame","Space Empires is a game in the finest tradition of 4X space games - eXplore, eXpand, eXploit, and eXterminate.  Each player builds up a space empire and uses it to conquer the other players.  Exploration on the mounted map is simple for players (and dangerous for their ships), revealing different space terrain that affects movement and combat.  Space Empires was developed to keep a rich theme without overcomplicated rules.  The game includes carriers and fighters, mines, cloaking, a very large technology tree, fifteen ship classes, merchant shipping, colonization, mining, terraforming, bases, shipyards, black holes, warp points, and non-player aliens.  Yet the rules are short and intuitive:  The basic rules are 8 pages long and increase to 11 pages in length when the advanced rules are included.","['4X games', 'Solitaire Games', 'Solitaire Wargames']"
